bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,skipped,stratum,threshold
GF,temperature,0.9888111888111888,real,0.5384615384615384,gate_planes_resnet18_temperature,0.8302163549688302,0.8196333369600697,0.5635061825581864,0.8196333369600697,0.7909367859862909,0.7680724803249556,0.7334031480071085,0.530792227762365,0.3104109352487639,0.030163039345409193,0.0018001800180018003,1,715,715,,imagesource,0.45
GoogleEarth,temperature,0.8209225203497136,real,0.9129032258064517,gate_planes_resnet18_temperature,0.8965088456952446,0.8859673903028632,0.6156478429073978,0.8649087461370225,0.833364702012611,0.7986324771423323,0.7446355724850392,0.61611126485895,0.38815379522665694,0.12510558974701888,0.0030900454662390517,1,3317,3317,,imagesource,0.45
JL,temperature,0.9660079051383399,real,0.509090909090909,gate_planes_resnet18_temperature,0.35265624188996814,0.35206532047614203,0.19978923262269938,0.3339265870372322,0.310848520454244,0.2833928991536383,0.21032379754264982,0.11569626077720346,0.03379747449112205,0.005185224404793421,0.0,1,1265,1265,,imagesource,0.45
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.45
GF,temperature,0.9888111888111888,real,0.5384615384615384,gate_planes_resnet18_temperature,0.8302163549688302,0.8196333369600697,0.5635061825581864,0.8196333369600697,0.7909367859862909,0.7680724803249556,0.7334031480071085,0.530792227762365,0.3104109352487639,0.030163039345409193,0.0018001800180018003,1,715,715,,imagesource,0.5
GoogleEarth,temperature,0.8233343382574616,real,0.9096774193548387,gate_planes_resnet18_temperature,0.8872206438058594,0.876736586574976,0.6113508198468198,0.8558846027814067,0.8331501957178407,0.7983354873711078,0.7367187478095547,0.6091562750420618,0.38814992300487805,0.12506569089427555,0.0030900454662390517,1,3317,3317,,imagesource,0.5
JL,temperature,0.966798418972332,real,0.509090909090909,gate_planes_resnet18_temperature,0.35265624188996814,0.35206532047614203,0.19978923262269938,0.3339265870372322,0.310848520454244,0.2833928991536383,0.21032379754264982,0.11569626077720346,0.03379747449112205,0.005185224404793421,0.0,1,1265,1265,,imagesource,0.5
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.5
GF,temperature,0.9902097902097902,real,0.5384615384615384,gate_planes_resnet18_temperature,0.8302163549688302,0.8196333369600697,0.5635061825581864,0.8196333369600697,0.7909367859862909,0.7680724803249556,0.7334031480071085,0.530792227762365,0.3104109352487639,0.030163039345409193,0.0018001800180018003,1,715,715,,imagesource,0.55
GoogleEarth,temperature,0.825444678926741,real,0.9064516129032258,gate_planes_resnet18_temperature,0.8872311782315234,0.8767449626829663,0.611355178008099,0.8558929428882047,0.8331582675047191,0.7983412780698821,0.7367206345855294,0.6091562750420618,0.38814992300487805,0.12506627260498585,0.0030900454662390517,1,3317,3317,,imagesource,0.55
