__source__,bucket,calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_gt_tiles,n_tiles,skipped,stratum,threshold,total_gflops,total_latency_ms
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature_strat_boundary.json,,temperature,96278.0,23276.0,0.8002643005474797,real,9534.6,10594.0,0.6235446313065977,gate_small_vehicle_resnet18_temperature,0.4270359981283858,0.40403135347417285,0.19217161411671235,0.3670924311343097,0.31089807660719493,0.22441931672304455,0.1261949709053666,0.04996146210291975,0.0103127450366471,0.0017472335468841002,2.255350819820023e-05,1058,1,,5297,,,0.75,105812.6,33870.0
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature_strat_boundary.json,,temperature,87906.0,21252.0,0.8176326222390032,real,9534.6,10594.0,0.5711513583441138,gate_small_vehicle_resnet18_temperature,0.4108683880070717,0.3947062313060772,0.1869488196726812,0.358235924042763,0.3029712454729666,0.2180462808233936,0.12504801723236514,0.04756380270681929,0.010278364895584011,0.0017472335468841002,2.270869288763739e-05,966,1,,5297,,,0.8,97440.6,31846.0
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature_strat_boundary.json,,temperature,78351.0,18942.0,0.8374551632999812,real,9534.6,10594.0,0.5168175937904269,gate_small_vehicle_resnet18_temperature,0.3929714942570943,0.3710043953105455,0.17846982120421986,0.34192302149787884,0.2886126336691467,0.21088605017392228,0.12012880783627512,0.04706792158533037,0.01022447993364059,0.0018564356435643563,2.297213480048701e-05,861,1,,5297,,,0.8500000000000001,87885.6,29536.0
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature_strat_boundary.json,,temperature,65884.0,15928.0,0.8633188597319237,real,9534.6,10594.0,0.4385510996119017,gate_small_vehicle_resnet18_temperature,0.3679581938915871,0.35289950652292895,0.16767859755713657,0.3184505607925145,0.27258338898889634,0.19770518731551923,0.1110105113448525,0.044240271449640635,0.009934969915181929,0.0019801980198019802,2.318733044264614e-05,724,1,,5297,,,0.9,75418.6,26522.0
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature_strat_boundary.json,,temperature,48685.0,11770.0,0.898999433641684,real,9534.6,10594.0,0.3279430789133247,gate_small_vehicle_resnet18_temperature,0.32280884321208575,0.3020413070761189,0.14494871261162387,0.27586312994079304,0.23429880839910036,0.16926562261027986,0.09785302054071529,0.03628526993365411,0.00876140367494388,0.002284843869002285,2.487685954525101e-05,535,1,,5297,,,0.9500000000000001,58219.6,22364.0
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature_strat_boundary.json,,temperature,0.0,0.0,1.0,real,9534.6,10594.0,0.0,gate_small_vehicle_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,5297,,,1.0,9534.6,10594.0
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature_strat_boundary.stratified_boundary.json,boundary,temperature,,,0.0,real,,,1.0,gate_small_vehicle_resnet18_temperature,0.8349164999966739,0.7966580818099717,0.35594545818094125,0.7051533291086184,0.5475434642681482,0.37089521954375737,0.1928446698620942,0.08308662739813633,0.026423102079843424,0.0016978498826683646,0.00023573785950023574,,1,124,124,,boundary,0.0,,
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature_strat_boundary.stratified_boundary.json,interior,temperature,,,0.0,real,,,1.0,gate_small_vehicle_resnet18_temperature,0.4551094366612207,0.43044258141991304,0.20334282538373025,0.38699415421610367,0.3242016660618571,0.2357536239837001,0.13476695750739223,0.05272313738383498,0.012050628383944878,0.0013656538067599864,2.0414412575278145e-05,,1,5173,5173,,boundary,0.0,,
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature_strat_boundary.stratified_boundary.json,boundary,temperature,,,0.10483870967741936,real,,,1.0,gate_small_vehicle_resnet18_temperature,0.8350604700446966,0.7967958283339789,0.35599636148118685,0.705247586233216,0.5475923023852233,0.37095632550940993,0.19285960906591623,0.0830948034174161,0.026423102079843424,0.0016978498826683646,0.00023573785950023574,,1,124,124,,boundary,0.05,,
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_temperature_strat_boundary.stratified_boundary.json,interior,temperature,,,0.4815387589406534,real,,,0.986449864498645,gate_small_vehicle_resnet18_temperature,0.4545952285439277,0.4301837688878755,0.20333130134247993,0.38706948235832767,0.3244643342212238,0.23594654744018612,0.13485687516081918,0.05275749246355261,0.012053216129550938,0.0013656538067599864,2.0414412575278145e-05,,1,5173,5173,,boundary,0.05,,
